,#_bank_accounts_open,#_credit_cards_held,#_homes_owned,household_size,average_balance,offer_accepted_Yes,mailer_type_Postcard,overdraft_protection_Yes,own_your_home_Yes,reward_Air Miles,reward_Cash Back,reward_Points,income_level_High,income_level_Low,income_level_Medium,credit_rating_High,credit_rating_Low,credit_rating_Medium
0,1,2,1,4,1160.75,0,0,0,0,1,0,0,1,0,0,1,0,0
2,2,2,1,2,276.5,0,1,0,1,1,0,0,1,0,0,0,0,1
3,2,1,1,4,1219.0,0,0,0,0,1,0,0,0,0,1,1,0,0
4,1,2,1,6,1211.0,0,0,0,1,1,0,0,0,0,1,0,0,1
5,1,3,1,4,1114.75,0,0,0,0,1,0,0,0,0,1,1,0,0
6,1,2,1,3,283.75,0,0,0,0,1,0,0,0,0,1,0,0,1
7,1,4,1,4,278.5,0,1,0,1,0,1,0,0,1,0,0,0,1
8,1,2,1,4,1005.0,0,1,0,1,1,0,0,0,0,1,0,1,0
9,2,3,2,4,974.25,0,0,0,1,1,0,0,1,0,0,0,1,0
10,1,3,1,2,1135.25,0,1,0,1,1,0,0,0,0,1,0,0,1
11,1,3,2,5,1221.0,0,1,0,1,0,1,0,1,0,0,0,0,1
12,1,1,1,2,1150.5,0,0,0,1,0,0,1,0,0,1,0,1,0
13,1,1,1,3,1052.25,0,0,0,0,0,0,1,0,1,0,1,0,0
14,2,3,1,3,1013.25,0,0,0,1,1,0,0,0,1,0,1,0,0
15,1,2,1,2,1012.25,0,0,0,0,0,1,0,1,0,0,0,1,0
16,2,1,1,4,1217.0,0,1,0,1,0,0,1,0,1,0,0,0,1
17,2,2,1,4,1185.25,0,1,0,1,1,0,0,0,1,0,1,0,0
18,1,1,1,4,1059.75,0,1,0,0,0,0,1,0,0,1,0,1,0
19,1,2,1,5,1086.75,0,0,0,1,0,1,0,0,0,1,1,0,0
20,1,2,1,4,1175.25,0,1,0,1,0,0,1,0,1,0,1,0,0
21,1,2,2,3,811.75,0,0,0,1,0,0,1,0,0,1,0,1,0
23,1,3,1,5,689.5,0,1,0,0,1,0,0,1,0,0,1,0,0
24,1,2,1,4,1018.25,0,0,0,1,0,1,0,0,1,0,0,1,0
25,1,3,2,5,1130.25,0,1,1,1,0,1,0,0,0,1,1,0,0
26,2,3,2,1,877.0,0,1,0,1,1,0,0,0,1,0,0,1,0
27,1,1,1,2,769.5,1,0,0,0,1,0,0,0,0,1,0,1,0
